size,read-start,read-end,time,block-time
65536,0.544322120,0.544963648,0.000641528,0.000040095
131072,0.544967560,0.546135976,0.001168416,0.000036513
262144,0.546139856,0.548213928,0.002074072,0.000032407
524288,0.548218272,0.551379616,0.003161344,0.000024698
1048576,0.551384736,0.559571336,0.008186600,0.000031979
2097152,0.559577024,0.575600448,0.016023424,0.000031296
4096,0.575606136,0.575735128,0.000128992,0.000128992
8192,0.575739976,0.575890280,0.000150304,0.000075152
16384,0.575894376,0.576256760,0.000362384,0.000090596
32768,0.576260392,0.576537536,0.000277144,0.000034643
65536,0.576540552,0.577183144,0.000642592,0.000040162
131072,0.577186440,0.578305024,0.001118584,0.000034956
262144,0.578308616,0.580455856,0.002147240,0.000033551
524288,0.580459784,0.584787144,0.004327360,0.000033808
1048576,0.584791240,0.592983024,0.008191784,0.000031999
2097152,0.592987976,0.609622048,0.016634072,0.000032488
4096,0.609627248,0.609781672,0.000154424,0.000154424
8192,0.609786584,0.609976736,0.000190152,0.000095076
16384,0.609980576,0.610228064,0.000247488,0.000061872
32768,0.610231776,0.610608216,0.000376440,0.000047055
65536,0.610611664,0.611347800,0.000736136,0.000046008
131072,0.611352424,0.612477672,0.001125248,0.000035164
262144,0.612481632,0.614634872,0.002153240,0.000033644
524288,0.614639440,0.618825616,0.004186176,0.000032704
1048576,0.618829984,0.626145840,0.007315856,0.000028578
2097152,0.626150280,0.641470456,0.015320176,0.000029922
4096,0.641475296,0.641640128,0.000164832,0.000164832
8192,0.641644488,0.641826904,0.000182416,0.000091208
16384,0.641830464,0.642068864,0.000238400,0.000059600
32768,0.642072488,0.642443136,0.000370648,0.000046331
65536,0.642446840,0.642913840,0.000467000,0.000029187
131072,0.642917568,0.644039376,0.001121808,0.000035057
262144,0.644042976,0.646206848,0.002163872,0.000033810
524288,0.646211104,0.650417624,0.004206520,0.000032863
1048576,0.650421696,0.658147544,0.007725848,0.000030179
2097152,0.658152544,0.674525160,0.016372616,0.000031978
4096,0.674530464,0.674687832,0.000157368,0.000157368
8192,0.674692552,0.674847256,0.000154704,0.000077352
16384,0.674851248,0.675104024,0.000252776,0.000063194
32768,0.675107776,0.675474256,0.000366480,0.000045810
65536,0.675478224,0.676092336,0.000614112,0.000038382
131072,0.676096240,0.677223784,0.001127544,0.000035236
262144,0.677227600,0.679307408,0.002079808,0.000032497
524288,0.679311408,0.683633384,0.004321976,0.000033765
1048576,0.683637888,0.691990224,0.008352336,0.000032626
2097152,0.691995448,0.705568768,0.013573320,0.000026510
4096,0.705574176,0.705736472,0.000162296,0.000162296
8192,0.705740720,0.705927832,0.000187112,0.000093556
16384,0.705931464,0.706175768,0.000244304,0.000061076
32768,0.706179432,0.706536408,0.000356976,0.000044622
65536,0.706540080,0.707164944,0.000624864,0.000039054
131072,0.707168672,0.708296712,0.001128040,0.000035251
262144,0.708300584,0.710445264,0.002144680,0.000033511
524288,0.710449512,0.714770312,0.004320800,0.000033756
1048576,0.714775544,0.722980112,0.008204568,0.000032049
2097152,0.722985704,0.738577048,0.015591344,0.000030452
4096,0.738582640,0.738739776,0.000157136,0.000157136
8192,0.738744520,0.738936968,0.000192448,0.000096224
16384,0.738941576,0.739187000,0.000245424,0.000061356
32768,0.739190952,0.739556936,0.000365984,0.000045748
65536,0.739560504,0.740117440,0.000556936,0.000034809
131072,0.740120784,0.741342200,0.001221416,0.000038169
262144,0.741346712,0.743505352,0.002158640,0.000033729
524288,0.743510032,0.746600920,0.003090888,0.000024148
1048576,0.746605192,0.752817800,0.006212608,0.000024268
2097152,0.752822384,0.769524592,0.016702208,0.000032621
4096,0.769530448,0.769696552,0.000166104,0.000166104
8192,0.769702040,0.769906144,0.000204104,0.000102052
16384,0.769910368,0.770155920,0.000245552,0.000061388
32768,0.770159824,0.770433056,0.000273232,0.000034154
65536,0.770436728,0.771167360,0.000730632,0.000045665
131072,0.771172080,0.772006568,0.000834488,0.000026078
262144,0.772010056,0.774486080,0.002476024,0.000038688
524288,0.774489968,0.778693280,0.004203312,0.000032838
1048576,0.778697880,0.787044440,0.008346560,0.000032604
2097152,0.787049296,0.803685784,0.016636488,0.000032493
4096,0.803691360,0.803818520,0.000127160,0.000127160
8192,0.803823216,0.804008120,0.000184904,0.000092452
16384,0.804011728,0.804244472,0.000232744,0.000058186
32768,0.804248136,0.804607536,0.000359400,0.000044925
65536,0.804611584,0.805223808,0.000612224,0.000038264
131072,0.805227216,0.806486888,0.001259672,0.000039365
262144,0.806491808,0.808102208,0.001610400,0.000025163
524288,0.808106664,0.811289560,0.003182896,0.000024866
1048576,0.811294200,0.818973800,0.007679600,0.000029998
2097152,0.818978504,0.833221248,0.014242744,0.000027818
4096,0.833226656,0.833392800,0.000166144,0.000166144
8192,0.833397800,0.833585672,0.000187872,0.000093936
16384,0.833589176,0.833776128,0.000186952,0.000046738
32768,0.833779432,0.834051640,0.000272208,0.000034026
65536,0.834054800,0.834521672,0.000466872,0.000029180
131072,0.834524984,0.835648960,0.001123976,0.000035124
262144,0.835652712,0.837230416,0.001577704,0.000024652
524288,0.837234568,0.841403584,0.004169016,0.000032570
1048576,0.841407992,0.849711024,0.008303032,0.000032434
2097152,0.849715968,0.864253720,0.014537752,0.000028394
4096,0.864259576,0.864424872,0.000165296,0.000165296
8192,0.864429880,0.864629304,0.000199424,0.000099712
16384,0.864633752,0.864828232,0.000194480,0.000048620
32768,0.864831744,0.865191304,0.000359560,0.000044945
65536,0.865194880,0.865826488,0.000631608,0.000039475
131072,0.865830760,0.866970528,0.001139768,0.000035618
262144,0.866974792,0.868740240,0.001765448,0.000027585
524288,0.868744472,0.872965880,0.004221408,0.000032980
1048576,0.872970536,0.881329864,0.008359328,0.000032654
2097152,0.881334592,0.895075216,0.013740624,0.000026837
4096,0.895080248,0.895210088,0.000129840,0.000129840
8192,0.895214696,0.895387064,0.000172368,0.000086184
16384,0.895390872,0.895719760,0.000328888,0.000082222
32768,0.895723256,0.896111072,0.000387816,0.000048477
65536,0.896114816,0.896720544,0.000605728,0.000037858
131072,0.896724504,0.897863352,0.001138848,0.000035589
262144,0.897867312,0.900017448,0.002150136,0.000033596
524288,0.900022000,0.903979704,0.003957704,0.000030920
1048576,0.903984392,0.911860680,0.007876288,0.000030767
2097152,0.911865776,0.926126952,0.014261176,0.000027854
