size,read-start,read-end,time,block-time
524288,0.254006184,0.255149768,0.001143584,0.000008934
1048576,0.255154096,0.257479048,0.002324952,0.000009082
2097152,0.257483712,0.262022872,0.004539160,0.000008866
4096,0.262027144,0.262090752,0.000063608,0.000063608
8192,0.262095136,0.262193064,0.000097928,0.000048964
16384,0.262197720,0.262433480,0.000235760,0.000058940
32768,0.262436592,0.262566416,0.000129824,0.000016228
65536,0.262570552,0.262759968,0.000189416,0.000011838
131072,0.262764576,0.263056328,0.000291752,0.000009117
262144,0.263059080,0.263634240,0.000575160,0.000008987
524288,0.263638368,0.264778296,0.001139928,0.000008906
1048576,0.264782976,0.267110408,0.002327432,0.000009092
2097152,0.267114616,0.271645624,0.004531008,0.000008850
4096,0.271649592,0.271720640,0.000071048,0.000071048
8192,0.271725216,0.271822928,0.000097712,0.000048856
16384,0.271826856,0.271920160,0.000093304,0.000023326
32768,0.271923096,0.272190768,0.000267672,0.000033459
65536,0.272194784,0.272401720,0.000206936,0.000012933
131072,0.272405984,0.272699872,0.000293888,0.000009184
262144,0.272703920,0.273297216,0.000593296,0.000009270
524288,0.273300432,0.274441936,0.001141504,0.000008918
1048576,0.274446896,0.276820688,0.002373792,0.000009273
2097152,0.276825288,0.281402368,0.004577080,0.000008940
4096,0.281406880,0.281484008,0.000077128,0.000077128
8192,0.281487392,0.281662120,0.000174728,0.000087364
16384,0.281665520,0.281763992,0.000098472,0.000024618
32768,0.281767160,0.281888296,0.000121136,0.000015142
65536,0.281891456,0.282065104,0.000173648,0.000010853
131072,0.282068264,0.282363072,0.000294808,0.000009213
262144,0.282365992,0.282953656,0.000587664,0.000009182
524288,0.282957544,0.284119984,0.001162440,0.000009082
1048576,0.284123352,0.286545328,0.002421976,0.000009461
2097152,0.286549960,0.291105664,0.004555704,0.000008898
4096,0.291110408,0.291183144,0.000072736,0.000072736
8192,0.291188352,0.291284592,0.000096240,0.000048120
16384,0.291289144,0.291382712,0.000093568,0.000023392
32768,0.291385416,0.291499832,0.000114416,0.000014302
65536,0.291504680,0.291710144,0.000205464,0.000012841
131072,0.291715040,0.292007080,0.000292040,0.000009126
262144,0.292009688,0.292589576,0.000579888,0.000009061
524288,0.292593200,0.293737688,0.001144488,0.000008941
1048576,0.293741832,0.296122536,0.002380704,0.000009300
2097152,0.296126880,0.300782712,0.004655832,0.000009093
4096,0.300787320,0.300859000,0.000071680,0.000071680
8192,0.300864208,0.300963816,0.000099608,0.000049804
16384,0.300967688,0.301063688,0.000096000,0.000024000
32768,0.301067648,0.301206976,0.000139328,0.000017416
65536,0.301211128,0.301403480,0.000192352,0.000012022
131072,0.301407384,0.301717304,0.000309920,0.000009685
262144,0.301721128,0.302306648,0.000585520,0.000009149
524288,0.302310496,0.303457872,0.001147376,0.000008964
1048576,0.303461968,0.305744944,0.002282976,0.000008918
2097152,0.305749152,0.310244632,0.004495480,0.000008780
4096,0.310248216,0.310313576,0.000065360,0.000065360
8192,0.310318512,0.310416752,0.000098240,0.000049120
16384,0.310420792,0.310514848,0.000094056,0.000023514
32768,0.310519424,0.310660296,0.000140872,0.000017609
65536,0.310664776,0.310835392,0.000170616,0.000010664
131072,0.310839728,0.311154088,0.000314360,0.000009824
262144,0.311158656,0.311748696,0.000590040,0.000009219
524288,0.311753152,0.312895120,0.001141968,0.000008922
1048576,0.312899720,0.315163752,0.002264032,0.000008844
2097152,0.315167800,0.319697664,0.004529864,0.000008847
4096,0.319701672,0.319767600,0.000065928,0.000065928
8192,0.319772744,0.319870208,0.000097464,0.000048732
16384,0.319874752,0.319968952,0.000094200,0.000023550
32768,0.319973576,0.320112672,0.000139096,0.000017387
65536,0.320116808,0.320286776,0.000169968,0.000010623
131072,0.320291320,0.320605776,0.000314456,0.000009827
262144,0.320609960,0.321197336,0.000587376,0.000009178
524288,0.321201184,0.322344552,0.001143368,0.000008933
1048576,0.322347424,0.324685224,0.002337800,0.000009132
2097152,0.324689944,0.329276736,0.004586792,0.000008959
4096,0.329280808,0.329350312,0.000069504,0.000069504
8192,0.329355120,0.329451744,0.000096624,0.000048312
16384,0.329456120,0.329549248,0.000093128,0.000023282
32768,0.329553944,0.329691920,0.000137976,0.000017247
65536,0.329696488,0.329884672,0.000188184,0.000011761
131072,0.329888552,0.330199872,0.000311320,0.000009729
262144,0.330204200,0.330787496,0.000583296,0.000009114
524288,0.330791168,0.331926344,0.001135176,0.000008869
1048576,0.331930072,0.334224760,0.002294688,0.000008964
2097152,0.334229232,0.338622376,0.004393144,0.000008580
